trial,N_bits,success,factor_found,time_seconds,dims,search_range,timestamp
1,199,False,,0.041,13,5000,2025-10-23T16:42:38.791199
2,199,False,,0.04,13,5000,2025-10-23T16:42:38.832232
3,199,False,,0.042,13,5000,2025-10-23T16:42:38.874833
4,199,False,,0.042,13,5000,2025-10-23T16:42:38.917256
5,199,False,,0.042,13,5000,2025-10-23T16:42:38.960217
6,199,False,,0.042,13,5000,2025-10-23T16:42:39.002701
7,199,False,,0.042,13,5000,2025-10-23T16:42:39.045315
8,199,False,,0.043,13,5000,2025-10-23T16:42:39.088228
9,199,False,,0.042,13,5000,2025-10-23T16:42:39.130804
10,199,False,,0.043,13,5000,2025-10-23T16:42:39.173730
11,199,False,,0.042,13,5000,2025-10-23T16:42:39.216941
12,199,False,,0.042,13,5000,2025-10-23T16:42:39.259598
13,199,False,,0.042,13,5000,2025-10-23T16:42:39.302388
14,199,False,,0.042,13,5000,2025-10-23T16:42:39.345672
15,199,False,,0.042,13,5000,2025-10-23T16:42:39.388383
16,199,False,,0.042,13,5000,2025-10-23T16:42:39.430619
17,199,False,,0.042,13,5000,2025-10-23T16:42:39.473191
18,199,False,,0.042,13,5000,2025-10-23T16:42:39.515626
19,199,False,,0.042,13,5000,2025-10-23T16:42:39.557918
20,199,False,,0.042,13,5000,2025-10-23T16:42:39.600695
21,199,False,,0.042,13,5000,2025-10-23T16:42:39.643426
22,199,False,,0.042,13,5000,2025-10-23T16:42:39.686051
23,199,False,,0.042,13,5000,2025-10-23T16:42:39.728578
24,199,False,,0.042,13,5000,2025-10-23T16:42:39.771328
25,199,False,,0.042,13,5000,2025-10-23T16:42:39.814402
26,199,False,,0.042,13,5000,2025-10-23T16:42:39.857064
27,199,False,,0.043,13,5000,2025-10-23T16:42:39.900186
28,199,False,,0.042,13,5000,2025-10-23T16:42:39.943272
29,199,False,,0.042,13,5000,2025-10-23T16:42:39.985705
30,199,False,,0.042,13,5000,2025-10-23T16:42:40.028172
31,199,False,,0.044,13,5000,2025-10-23T16:42:40.072278
32,199,False,,0.044,13,5000,2025-10-23T16:42:40.117301
33,199,False,,0.054,13,5000,2025-10-23T16:42:40.172076
34,199,False,,0.057,13,5000,2025-10-23T16:42:40.230443
35,199,False,,0.042,13,5000,2025-10-23T16:42:40.273065
36,199,False,,0.042,13,5000,2025-10-23T16:42:40.315516
37,199,False,,0.042,13,5000,2025-10-23T16:42:40.357929
38,199,False,,0.042,13,5000,2025-10-23T16:42:40.400356
39,199,False,,0.042,13,5000,2025-10-23T16:42:40.443436
40,199,False,,0.042,13,5000,2025-10-23T16:42:40.486234
41,199,False,,0.054,13,5000,2025-10-23T16:42:40.540410
42,199,False,,0.042,13,5000,2025-10-23T16:42:40.583180
43,199,False,,0.063,13,5000,2025-10-23T16:42:40.646427
44,199,False,,0.042,13,5000,2025-10-23T16:42:40.689205
45,199,False,,0.06,13,5000,2025-10-23T16:42:40.749703
46,199,False,,0.042,13,5000,2025-10-23T16:42:40.792129
47,199,False,,0.042,13,5000,2025-10-23T16:42:40.834767
48,199,False,,0.05,13,5000,2025-10-23T16:42:40.885607
49,199,False,,0.057,13,5000,2025-10-23T16:42:40.942645
50,199,False,,0.047,13,5000,2025-10-23T16:42:40.990788
51,199,False,,0.042,13,5000,2025-10-23T16:42:41.033434
52,199,False,,0.042,13,5000,2025-10-23T16:42:41.075843
53,199,False,,0.055,13,5000,2025-10-23T16:42:41.131111
54,199,False,,0.042,13,5000,2025-10-23T16:42:41.173437
55,199,False,,0.042,13,5000,2025-10-23T16:42:41.215949
56,199,False,,0.042,13,5000,2025-10-23T16:42:41.258304
57,199,False,,0.042,13,5000,2025-10-23T16:42:41.300732
58,199,False,,0.042,13,5000,2025-10-23T16:42:41.343348
59,199,False,,0.05,13,5000,2025-10-23T16:42:41.393864
60,199,False,,0.051,13,5000,2025-10-23T16:42:41.445160
61,199,False,,0.042,13,5000,2025-10-23T16:42:41.487593
62,199,False,,0.042,13,5000,2025-10-23T16:42:41.530225
63,199,False,,0.042,13,5000,2025-10-23T16:42:41.572799
64,199,False,,0.042,13,5000,2025-10-23T16:42:41.615161
65,199,False,,0.042,13,5000,2025-10-23T16:42:41.657510
66,199,False,,0.042,13,5000,2025-10-23T16:42:41.700297
67,199,False,,0.042,13,5000,2025-10-23T16:42:41.743046
68,199,False,,0.042,13,5000,2025-10-23T16:42:41.785567
69,199,False,,0.042,13,5000,2025-10-23T16:42:41.828275
70,199,False,,0.051,13,5000,2025-10-23T16:42:41.879695
71,199,False,,0.042,13,5000,2025-10-23T16:42:41.923057
72,199,False,,0.046,13,5000,2025-10-23T16:42:41.969569
73,199,False,,0.048,13,5000,2025-10-23T16:42:42.018962
74,199,False,,0.051,13,5000,2025-10-23T16:42:42.070465
75,199,False,,0.042,13,5000,2025-10-23T16:42:42.113010
76,199,False,,0.055,13,5000,2025-10-23T16:42:42.168050
77,199,False,,0.045,13,5000,2025-10-23T16:42:42.213059
78,199,False,,0.05,13,5000,2025-10-23T16:42:42.264176
79,199,False,,0.05,13,5000,2025-10-23T16:42:42.314936
80,199,False,,0.042,13,5000,2025-10-23T16:42:42.357729
81,199,False,,0.045,13,5000,2025-10-23T16:42:42.403703
82,199,False,,0.052,13,5000,2025-10-23T16:42:42.456440
83,199,False,,0.042,13,5000,2025-10-23T16:42:42.498911
84,199,False,,0.052,13,5000,2025-10-23T16:42:42.551128
85,199,False,,0.045,13,5000,2025-10-23T16:42:42.596493
86,199,False,,0.05,13,5000,2025-10-23T16:42:42.647106
87,199,False,,0.042,13,5000,2025-10-23T16:42:42.689666
88,199,False,,0.069,13,5000,2025-10-23T16:42:42.759181
89,199,False,,0.042,13,5000,2025-10-23T16:42:42.801795
90,199,False,,0.053,13,5000,2025-10-23T16:42:42.855068
